Point 0: True class: 0, Predicted class: 0. Correct.
Point 1: True class: 1, Predicted class: 1. Correct.
Point 2: True class: 2, Predicted class: 2. Correct.
Point 3: True class: 3, Predicted class: 3. Correct.
Point 4: True class: 4, Predicted class: 4. Correct.
Point 5: True class: 5, Predicted class: 9. Incorrect.
Point 6: True class: 6, Predicted class: 6. Correct.
Point 7: True class: 7, Predicted class: 7. Correct.
Point 8: True class: 8, Predicted class: 8. Correct.
Point 9: True class: 9, Predicted class: 9. Correct.
Point 10: True class: 0, Predicted class: 0. Correct.
Point 11: True class: 1, Predicted class: 1. Correct.
Point 12: True class: 2, Predicted class: 2. Correct.
Point 13: True class: 3, Predicted class: 3. Correct.
Point 14: True class: 4, Predicted class: 4. Correct.
Point 15: True class: 5, Predicted class: 5. Correct.
Point 16: True class: 6, Predicted class: 6. Correct.
Point 17: True class: 7, Predicted class: 7. Correct.
Point 18: True class: 8, Predicted class: 8. Correct.
Point 19: True class: 9, Predicted class: 9. Correct.
Point 20: True class: 0, Predicted class: 0. Correct.
Point 21: True class: 1, Predicted class: 1. Correct.
Point 22: True class: 2, Predicted class: 2. Correct.
Point 23: True class: 3, Predicted class: 3. Correct.
Point 24: True class: 4, Predicted class: 4. Correct.
Point 25: True class: 5, Predicted class: 5. Correct.
Point 26: True class: 6, Predicted class: 6. Correct.
Point 27: True class: 7, Predicted class: 7. Correct.
Point 28: True class: 8, Predicted class: 8. Correct.
Point 29: True class: 9, Predicted class: 9. Correct.
Point 30: True class: 0, Predicted class: 0. Correct.
Point 31: True class: 9, Predicted class: 9. Correct.
Point 32: True class: 5, Predicted class: 5. Correct.
Point 33: True class: 5, Predicted class: 5. Correct.
Point 34: True class: 6, Predicted class: 6. Correct.
Point 35: True class: 5, Predicted class: 5. Correct.
Point 36: True class: 0, Predicted class: 0. Correct.
Point 37: True class: 9, Predicted class: 9. Correct.
Point 38: True class: 8, Predicted class: 8. Correct.
Point 39: True class: 9, Predicted class: 9. Correct.
Point 40: True class: 8, Predicted class: 8. Correct.
Point 41: True class: 4, Predicted class: 4. Correct.
Point 42: True class: 1, Predicted class: 1. Correct.
Point 43: True class: 7, Predicted class: 7. Correct.
Point 44: True class: 7, Predicted class: 7. Correct.
Point 45: True class: 3, Predicted class: 3. Correct.
Point 46: True class: 5, Predicted class: 5. Correct.
Point 47: True class: 1, Predicted class: 1. Correct.
Point 48: True class: 0, Predicted class: 0. Correct.
Point 49: True class: 0, Predicted class: 0. Correct.
Point 50: True class: 2, Predicted class: 2. Correct.
Point 51: True class: 2, Predicted class: 2. Correct.
Point 52: True class: 7, Predicted class: 7. Correct.
Point 53: True class: 8, Predicted class: 8. Correct.
Point 54: True class: 2, Predicted class: 2. Correct.
Point 55: True class: 0, Predicted class: 0. Correct.
Point 56: True class: 1, Predicted class: 1. Correct.
Point 57: True class: 2, Predicted class: 2. Correct.
Point 58: True class: 6, Predicted class: 6. Correct.
Point 59: True class: 3, Predicted class: 3. Correct.
Point 60: True class: 3, Predicted class: 3. Correct.
Point 61: True class: 7, Predicted class: 7. Correct.
Point 62: True class: 3, Predicted class: 3. Correct.
Point 63: True class: 3, Predicted class: 3. Correct.
Point 64: True class: 4, Predicted class: 4. Correct.
Point 65: True class: 6, Predicted class: 6. Correct.
Point 66: True class: 6, Predicted class: 6. Correct.
Point 67: True class: 6, Predicted class: 6. Correct.
Point 68: True class: 4, Predicted class: 4. Correct.
Point 69: True class: 9, Predicted class: 9. Correct.
Point 70: True class: 1, Predicted class: 1. Correct.
Point 71: True class: 5, Predicted class: 5. Correct.
Point 72: True class: 0, Predicted class: 0. Correct.
Point 73: True class: 9, Predicted class: 9. Correct.
Point 74: True class: 5, Predicted class: 5. Correct.
Point 75: True class: 2, Predicted class: 1. Incorrect.
